iteration,Method,Classifier,Metric,Mean
3,MICE,RandomForest,accuracy,0.5744130186753138
3,MICE,RandomForest,f1,0.5529673502976777
3,MICE,XGBoost,accuracy,0.5601273043895995
3,MICE,XGBoost,f1,0.5445868832121736
4,No Handling,LogisticRegression,accuracy,0.43246187363834426
4,No Handling,LogisticRegression,f1,0.38210087921990227
4,No Handling,RandomForest,accuracy,0.491285403050109
4,No Handling,RandomForest,f1,0.4662735689567475
4,No Handling,XGBoost,accuracy,0.5108932461873638
4,No Handling,XGBoost,f1,0.4938679445387392
4,XGBoost Native,XGBoost,accuracy,0.5700114093556715
4,XGBoost Native,XGBoost,f1,0.5556378445047722
4,Mean,LogisticRegression,accuracy,0.568984567345223
4,Mean,LogisticRegression,f1,0.5488390348765252
4,Mean,RandomForest,accuracy,0.5831681979222962
4,Mean,RandomForest,f1,0.5593252722405039
4,Mean,XGBoost,accuracy,0.5645289137092415
4,Mean,XGBoost,f1,0.5502635259977278
4,Median,LogisticRegression,accuracy,0.5842791088692728
4,Median,LogisticRegression,f1,0.5627549830205234
4,Median,RandomForest,accuracy,0.5809583858764187
4,Median,RandomForest,f1,0.5568340994089271
4,Median,XGBoost,accuracy,0.5755239296222903
4,Median,XGBoost,f1,0.5603491423181733
4,KNN (k=5),LogisticRegression,accuracy,0.6367921695790548
4,KNN (k=5),LogisticRegression,f1,0.6169733694224215
4,KNN (k=5),RandomForest,accuracy,0.6641385936467904
4,KNN (k=5),RandomForest,f1,0.6417853274954226
4,KNN (k=5),XGBoost,accuracy,0.6586921275445865
4,KNN (k=5),XGBoost,f1,0.6409303235538826
4,KNN (k=10),LogisticRegression,accuracy,0.6313577133249264
4,KNN (k=10),LogisticRegression,f1,0.611807122199929
4,KNN (k=10),RandomForest,accuracy,0.6652975439860687
4,KNN (k=10),RandomForest,f1,0.6446862186030942
4,KNN (k=10),XGBoost,accuracy,0.6477211313276887
4,KNN (k=10),XGBoost,f1,0.6307048253461929
4,MissForest,LogisticRegression,accuracy,0.6159911127124242
4,MissForest,LogisticRegression,f1,0.597192949413876
4,MissForest,RandomForest,accuracy,0.6378670509818052
4,MissForest,RandomForest,f1,0.6172258860052766
4,MissForest,XGBoost,accuracy,0.6345823575331772
4,MissForest,XGBoost,f1,0.6255642155920771
4,MICE,LogisticRegression,accuracy,0.5995916651654356
4,MICE,LogisticRegression,f1,0.5808872980307854
4,MICE,RandomForest,accuracy,0.6094697652074701
4,MICE,RandomForest,f1,0.5882617406215911
4,MICE,XGBoost,accuracy,0.6028523389179127
4,MICE,XGBoost,f1,0.5837817315240417
5,No Handling,LogisticRegression,accuracy,0.5952380952380952
5,No Handling,LogisticRegression,f1,0.5861165223665223
5,No Handling,RandomForest,accuracy,0.6285714285714286
5,No Handling,RandomForest,f1,0.601047841047841
5,No Handling,XGBoost,accuracy,0.5964285714285714
5,No Handling,XGBoost,f1,0.5719606782106783
5,XGBoost Native,XGBoost,accuracy,0.5524590163934426
5,XGBoost Native,XGBoost,f1,0.5377370992127264
5,Mean,LogisticRegression,accuracy,0.5645709481775056
5,Mean,LogisticRegression,f1,0.5432049809770174
5,Mean,RandomForest,accuracy,0.5809643908004565
5,Mean,RandomForest,f1,0.555503509760633
5,Mean,XGBoost,accuracy,0.5481354710862907
5,Mean,XGBoost,f1,0.5335945587395148
5,Median,LogisticRegression,accuracy,0.5601873536299765
5,Median,LogisticRegression,f1,0.5363728845510367
5,Median,RandomForest,accuracy,0.5732840929562242
5,Median,RandomForest,f1,0.5487071493226804
5,Median,XGBoost,accuracy,0.5360775836185673
5,Median,XGBoost,f1,0.5238175222406996
5,KNN (k=5),LogisticRegression,accuracy,0.6378430312856543
5,KNN (k=5),LogisticRegression,f1,0.6184189351145881
5,KNN (k=5),RandomForest,accuracy,0.6684981684981685
5,KNN (k=5),RandomForest,f1,0.6482120113617702
5,KNN (k=5),XGBoost,accuracy,0.6531916171260433
5,KNN (k=5),XGBoost,f1,0.637145125680097
5,KNN (k=10),LogisticRegression,accuracy,0.6312976640845493
5,KNN (k=10),LogisticRegression,f1,0.6099155452669166
5,KNN (k=10),RandomForest,accuracy,0.6695970695970697
5,KNN (k=10),RandomForest,f1,0.6454839632085535
