iteration,Method,Classifier,Metric,Mean
3,KNN (k=10),XGBoost,accuracy,0.5516271373414231
3,KNN (k=10),XGBoost,f1,0.5338960690989305
3,MissForest,LogisticRegression,accuracy,0.6303916161059019
3,MissForest,LogisticRegression,f1,0.6080075924674707
3,MissForest,RandomForest,accuracy,0.6671355028497885
3,MissForest,RandomForest,f1,0.6465236836549534
3,MissForest,XGBoost,accuracy,0.6603695532266961
3,MissForest,XGBoost,f1,0.649371781028395
3,MICE,LogisticRegression,accuracy,0.5991910277624564
3,MICE,LogisticRegression,f1,0.5678428178397383
3,MICE,RandomForest,accuracy,0.5882699025556168
3,MICE,RandomForest,f1,0.5617305833484694
3,MICE,XGBoost,accuracy,0.58284611141754
3,MICE,XGBoost,f1,0.5705756276490481
4,No Handling,LogisticRegression,accuracy,0.5857254901960784
4,No Handling,LogisticRegression,f1,0.5512497466165023
4,No Handling,RandomForest,accuracy,0.5381176470588236
4,No Handling,RandomForest,f1,0.4842970721158995
4,No Handling,XGBoost,accuracy,0.5101176470588236
4,No Handling,XGBoost,f1,0.4898891741079422
4,XGBoost Native,XGBoost,accuracy,0.5475363118220261
4,XGBoost Native,XGBoost,f1,0.5249999929200033
4,Mean,LogisticRegression,accuracy,0.5923974995403567
4,Mean,LogisticRegression,f1,0.5599847015502581
4,Mean,RandomForest,accuracy,0.5787920573634859
4,Mean,RandomForest,f1,0.5452171344804874
4,Mean,XGBoost,accuracy,0.5448060305203162
4,Mean,XGBoost,f1,0.5255572201052653
4,Median,LogisticRegression,accuracy,0.5828828828828828
4,Median,LogisticRegression,f1,0.5501912979039657
4,Median,RandomForest,accuracy,0.577523441809156
4,Median,RandomForest,f1,0.5525267490556132
4,Median,XGBoost,accuracy,0.5434638720353007
4,Median,XGBoost,f1,0.5278565788741306
4,KNN (k=5),LogisticRegression,accuracy,0.585603971318257
4,KNN (k=5),LogisticRegression,f1,0.5543937249560231
4,KNN (k=5),RandomForest,accuracy,0.5570325427468285
4,KNN (k=5),RandomForest,f1,0.527567600961506
4,KNN (k=5),XGBoost,accuracy,0.5596800882515168
4,KNN (k=5),XGBoost,f1,0.5376376825475266
4,KNN (k=10),LogisticRegression,accuracy,0.5910369553226695
4,KNN (k=10),LogisticRegression,f1,0.5573951712063532
4,KNN (k=10),RandomForest,accuracy,0.577422320279463
4,KNN (k=10),RandomForest,f1,0.5500446730652438
4,KNN (k=10),XGBoost,accuracy,0.5516271373414231
4,KNN (k=10),XGBoost,f1,0.5338960690989305
4,MissForest,LogisticRegression,accuracy,0.6303916161059019
4,MissForest,LogisticRegression,f1,0.6080075924674707
4,MissForest,RandomForest,accuracy,0.6671355028497885
4,MissForest,RandomForest,f1,0.6465236836549534
4,MissForest,XGBoost,accuracy,0.6603695532266961
4,MissForest,XGBoost,f1,0.649371781028395
4,MICE,LogisticRegression,accuracy,0.5991910277624564
4,MICE,LogisticRegression,f1,0.5678428178397383
4,MICE,RandomForest,accuracy,0.5882699025556168
4,MICE,RandomForest,f1,0.5617305833484694
4,MICE,XGBoost,accuracy,0.58284611141754
4,MICE,XGBoost,f1,0.5705756276490481
5,No Handling,LogisticRegression,accuracy,0.5857254901960784
5,No Handling,LogisticRegression,f1,0.5512497466165023
5,No Handling,RandomForest,accuracy,0.5381176470588236
5,No Handling,RandomForest,f1,0.4842970721158995
5,No Handling,XGBoost,accuracy,0.5101176470588236
5,No Handling,XGBoost,f1,0.4898891741079422
5,XGBoost Native,XGBoost,accuracy,0.5475363118220261
5,XGBoost Native,XGBoost,f1,0.5249999929200033
5,Mean,LogisticRegression,accuracy,0.5923974995403567
5,Mean,LogisticRegression,f1,0.5599847015502581
5,Mean,RandomForest,accuracy,0.5787920573634859
5,Mean,RandomForest,f1,0.5452171344804874
5,Mean,XGBoost,accuracy,0.5448060305203162
5,Mean,XGBoost,f1,0.5255572201052653
5,Median,LogisticRegression,accuracy,0.5828828828828828
5,Median,LogisticRegression,f1,0.5501912979039657
5,Median,RandomForest,accuracy,0.577523441809156
5,Median,RandomForest,f1,0.5525267490556132
5,Median,XGBoost,accuracy,0.5434638720353007
5,Median,XGBoost,f1,0.5278565788741306
5,KNN (k=5),LogisticRegression,accuracy,0.585603971318257
5,KNN (k=5),LogisticRegression,f1,0.5543937249560231
5,KNN (k=5),RandomForest,accuracy,0.5570325427468285
5,KNN (k=5),RandomForest,f1,0.527567600961506
5,KNN (k=5),XGBoost,accuracy,0.5596800882515168
5,KNN (k=5),XGBoost,f1,0.5376376825475266
5,KNN (k=10),LogisticRegression,accuracy,0.5910369553226695
5,KNN (k=10),LogisticRegression,f1,0.5573951712063532
5,KNN (k=10),RandomForest,accuracy,0.577422320279463
5,KNN (k=10),RandomForest,f1,0.5500446730652438
5,KNN (k=10),XGBoost,accuracy,0.5516271373414231
5,KNN (k=10),XGBoost,f1,0.5338960690989305
5,MissForest,LogisticRegression,accuracy,0.6303916161059019
5,MissForest,LogisticRegression,f1,0.6080075924674707
5,MissForest,RandomForest,accuracy,0.6671355028497885
5,MissForest,RandomForest,f1,0.6465236836549534
5,MissForest,XGBoost,accuracy,0.6603695532266961
5,MissForest,XGBoost,f1,0.649371781028395
5,MICE,LogisticRegression,accuracy,0.5991910277624564
5,MICE,LogisticRegression,f1,0.5678428178397383
5,MICE,RandomForest,accuracy,0.5882699025556168
5,MICE,RandomForest,f1,0.5617305833484694
5,MICE,XGBoost,accuracy,0.58284611141754
5,MICE,XGBoost,f1,0.5705756276490481
6,No Handling,LogisticRegression,accuracy,0.5857254901960784
6,No Handling,LogisticRegression,f1,0.5512497466165023
6,No Handling,RandomForest,accuracy,0.5381176470588236
6,No Handling,RandomForest,f1,0.4842970721158995
6,No Handling,XGBoost,accuracy,0.5101176470588236
6,No Handling,XGBoost,f1,0.4898891741079422
6,XGBoost Native,XGBoost,accuracy,0.5475363118220261
6,XGBoost Native,XGBoost,f1,0.5249999929200033
6,Mean,LogisticRegression,accuracy,0.5923974995403567
6,Mean,LogisticRegression,f1,0.5599847015502581
6,Mean,RandomForest,accuracy,0.5787920573634859
6,Mean,RandomForest,f1,0.5452171344804874
6,Mean,XGBoost,accuracy,0.5448060305203162
6,Mean,XGBoost,f1,0.5255572201052653
6,Median,LogisticRegression,accuracy,0.5828828828828828
6,Median,LogisticRegression,f1,0.5501912979039657
6,Median,RandomForest,accuracy,0.577523441809156
6,Median,RandomForest,f1,0.5525267490556132
6,Median,XGBoost,accuracy,0.5434638720353007
6,Median,XGBoost,f1,0.5278565788741306
6,KNN (k=5),LogisticRegression,accuracy,0.585603971318257
6,KNN (k=5),LogisticRegression,f1,0.5543937249560231
6,KNN (k=5),RandomForest,accuracy,0.5570325427468285
6,KNN (k=5),RandomForest,f1,0.527567600961506
6,KNN (k=5),XGBoost,accuracy,0.5596800882515168
6,KNN (k=5),XGBoost,f1,0.5376376825475266
6,KNN (k=10),LogisticRegression,accuracy,0.5910369553226695
6,KNN (k=10),LogisticRegression,f1,0.5573951712063532
6,KNN (k=10),RandomForest,accuracy,0.577422320279463
6,KNN (k=10),RandomForest,f1,0.5500446730652438
6,KNN (k=10),XGBoost,accuracy,0.5516271373414231
6,KNN (k=10),XGBoost,f1,0.5338960690989305
6,MissForest,LogisticRegression,accuracy,0.6303916161059019
6,MissForest,LogisticRegression,f1,0.6080075924674707
6,MissForest,RandomForest,accuracy,0.6671355028497885
6,MissForest,RandomForest,f1,0.6465236836549534
6,MissForest,XGBoost,accuracy,0.6603695532266961
6,MissForest,XGBoost,f1,0.649371781028395
6,MICE,LogisticRegression,accuracy,0.5991910277624564
6,MICE,LogisticRegression,f1,0.5678428178397383
6,MICE,RandomForest,accuracy,0.5882699025556168
6,MICE,RandomForest,f1,0.5617305833484694
6,MICE,XGBoost,accuracy,0.58284611141754
6,MICE,XGBoost,f1,0.5705756276490481
7,No Handling,LogisticRegression,accuracy,0.5857254901960784
7,No Handling,LogisticRegression,f1,0.5512497466165023
7,No Handling,RandomForest,accuracy,0.5381176470588236
7,No Handling,RandomForest,f1,0.4842970721158995
7,No Handling,XGBoost,accuracy,0.5101176470588236
7,No Handling,XGBoost,f1,0.4898891741079422
7,XGBoost Native,XGBoost,accuracy,0.5475363118220261
7,XGBoost Native,XGBoost,f1,0.5249999929200033
7,Mean,LogisticRegression,accuracy,0.5923974995403567
7,Mean,LogisticRegression,f1,0.5599847015502581
7,Mean,RandomForest,accuracy,0.5787920573634859
7,Mean,RandomForest,f1,0.5452171344804874
7,Mean,XGBoost,accuracy,0.5448060305203162
7,Mean,XGBoost,f1,0.5255572201052653
7,Median,LogisticRegression,accuracy,0.5828828828828828
7,Median,LogisticRegression,f1,0.5501912979039657
7,Median,RandomForest,accuracy,0.577523441809156
7,Median,RandomForest,f1,0.5525267490556132
7,Median,XGBoost,accuracy,0.5434638720353007
7,Median,XGBoost,f1,0.5278565788741306
7,KNN (k=5),LogisticRegression,accuracy,0.585603971318257
